ActionText;Action text
ActionTitle;Action title
Create Proposal;Create proposal
indexDescriptionText;At this page you can assign proposals.
Proposal allocation administration;Proposal allocation administration
Proposal administration;Proposal administration
Save;Save
ProposalName;Proposal Name
ProposalText;Proposal Info
add information;add Information
remove information;remove Information
successProposalEdit;Proposal saved.
successProposalDelete;Proposal deleted.
errorProposalDelete:Proposal not deleted.
